NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,316,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
0,6,129,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
0,14,290,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
0,864,586,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
1,0,316,"(166192.12090307847, 80696.88009307534)","['Bartlett St', '22nd St']"
1,2,328,"(166192.12090307847, 80696.88009307534)","['Bartlett St', '22nd St']"
1,15,581,"(166192.12090307847, 80696.88009307534)","['Bartlett St', '22nd St']"
1,865,587,"(166192.12090307847, 80696.88009307534)","['Bartlett St', '22nd St']"
2,1,328,"(166519.68684899434, 80719.20058649033)","['Mission St', '22nd St']"
2,3,316,"(166519.68684899434, 80719.20058649033)","['Mission St', '22nd St']"
2,16,581,"(166519.68684899434, 80719.20058649033)","['Mission St', '22nd St']"
2,866,582,"(166519.68684899434, 80719.20058649033)","['Mission St', '22nd St']"
3,2,316,"(166835.39750366285, 80744.07028740644)","['Capp St', '22nd St']"
3,4,314,"(166835.39750366285, 80744.07028740644)","['Capp St', '22nd St']"
3,17,586,"(166835.39750366285, 80744.07028740644)","['Capp St', '22nd St']"
3,867,583,"(166835.39750366285, 80744.07028740644)","['Capp St', '22nd St']"
4,3,314,"(167149.08388416097, 80767.85009548813)","['S Van Ness Ave', '22nd St']"
4,5,315,"(167149.08388416097, 80767.85009548813)","['S Van Ness Ave', '22nd St']"
4,18,585,"(167149.08388416097, 80767.85009548813)","['S Van Ness Ave', '22nd St']"
4,868,582,"(167149.08388416097, 80767.85009548813)","['S Van Ness Ave', '22nd St']"
5,4,315,"(167463.9261022471, 80791.63384057581)","['Shotwell St', '22nd St']"
5,19,587,"(167463.9261022471, 80791.63384057581)","['Shotwell St', '22nd St']"
5,20,316,"(167463.9261022471, 80791.63384057581)","['Shotwell St', '22nd St']"
5,869,585,"(167463.9261022471, 80791.63384057581)","['Shotwell St', '22nd St']"
6,0,129,"(165747.4643120803, 80663.23908423632)","['22nd St', 'San Jose Ave']"
6,12,497,"(165747.4643120803, 80663.23908423632)","['22nd St', 'San Jose Ave']"
6,870,295,"(165747.4643120803, 80663.23908423632)","['22nd St', 'San Jose Ave']"
7,23,315,"(164199.6865677461, 81126.0071875751)","['Chattanooga St', '21st St']"
7,871,581,"(164199.6865677461, 81126.0071875751)","['Chattanooga St', '21st St']"
7,872,334,"(164199.6865677461, 81126.0071875751)","['Chattanooga St', '21st St']"
8,9,159,"(164704.4709912464, 81169.83518390357)","['Quane St', '21st St']"
8,24,150,"(164704.4709912464, 81169.83518390357)","['Quane St', '21st St']"
8,873,586,"(164704.4709912464, 81169.83518390357)","['Quane St', '21st St']"
9,8,159,"(164863.19213049486, 81180.43818107247)","['Fair Oaks St', '21st St']"
9,10,154,"(164863.19213049486, 81180.43818107247)","['Fair Oaks St', '21st St']"
9,874,581,"(164863.19213049486, 81180.43818107247)","['Fair Oaks St', '21st St']"
10,9,154,"(165017.28696666285, 81193.59005765617)","['Ames St', '21st St']"
10,27,162,"(165017.28696666285, 81193.59005765617)","['Ames St', '21st St']"
10,875,583,"(165017.28696666285, 81193.59005765617)","['Ames St', '21st St']"
11,27,292,"(165201.82235874608, 80913.24777057022)","['Guerrero St', 'BORDER']"
11,876,290,"(165201.82235874608, 80913.24777057022)","['Guerrero St', 'BORDER']"
12,6,497,"(165251.92265224457, 80624.85661507398)","['22nd St', 'Guerrero St']"
12,13,294,"(165251.92265224457, 80624.85661507398)","['22nd St', 'Guerrero St']"
13,12,294,"(165228.70878791064, 80917.98955898732)","['Guerrero St', 'Hill St']"
13,14,627,"(165228.70878791064, 80917.98955898732)","['Guerrero St', 'Hill St']"
13,28,289,"(165228.70878791064, 80917.98955898732)","['Guerrero St', 'Hill St']"
14,0,290,"(165854.05694666132, 80963.33001948893)","['Valencia St', 'Hill St']"
14,13,627,"(165854.05694666132, 80963.33001948893)","['Valencia St', 'Hill St']"
14,29,298,"(165854.05694666132, 80963.33001948893)","['Valencia St', 'Hill St']"
15,1,581,"(166131.51013191044, 81275.12860848755)","['Bartlett St', '21st St']"
15,36,92,"(166131.51013191044, 81275.12860848755)","['Bartlett St', '21st St']"
15,38,98,"(166131.51013191044, 81275.12860848755)","['Bartlett St', '21st St']"
16,2,581,"(166475.54782966152, 81299.27455757558)","['Mission St', '21st St']"
16,17,316,"(166475.54782966152, 81299.27455757558)","['Mission St', '21st St']"
16,38,246,"(166475.54782966152, 81299.27455757558)","['Mission St', '21st St']"
16,40,587,"(166475.54782966152, 81299.27455757558)","['Mission St', '21st St']"
17,3,586,"(166790.96058466285, 81329.2413611561)","['Capp St', '21st St']"
17,16,316,"(166790.96058466285, 81329.2413611561)","['Capp St', '21st St']"
17,18,315,"(166790.96058466285, 81329.2413611561)","['Capp St', '21st St']"
17,41,581,"(166790.96058466285, 81329.2413611561)","['Capp St', '21st St']"
18,4,585,"(167105.50818391144, 81351.56447923928)","['S Van Ness Ave', '21st St']"
18,17,315,"(167105.50818391144, 81351.56447923928)","['S Van Ness Ave', '21st St']"
18,19,316,"(167105.50818391144, 81351.56447923928)","['S Van Ness Ave', '21st St']"
18,43,583,"(167105.50818391144, 81351.56447923928)","['S Van Ness Ave', '21st St']"
